         22331 function calls (21944 primitive calls) in 0.050 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.112    0.016 __init__.py:1(<module>)
     47/1    0.002    0.000    0.050    0.050 {built-in method builtins.exec}
        1    0.000    0.000    0.050    0.050 <string>:1(<module>)
        1    0.000    0.000    0.050    0.050 <frozen runpy>:201(run_module)
      2/1    0.000    0.000    0.050    0.050 <frozen runpy>:105(_get_module_details)
      7/3    0.000    0.000    0.050    0.017 {built-in method builtins.__import__}
     35/2    0.000    0.000    0.050    0.025 <frozen importlib._bootstrap>:1349(_find_and_load)
     35/2    0.000    0.000    0.050    0.025 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     32/2    0.000    0.000    0.050    0.025 <frozen importlib._bootstrap>:911(_load_unlocked)
     25/2    0.000    0.000    0.050    0.025 <frozen importlib._bootstrap_external>:989(exec_module)
     77/5    0.000    0.000    0.050    0.010 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.049    0.049 main.py:1(<module>)
    32/29    0.000    0.000    0.023    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
      7/4    0.000    0.000    0.022    0.005 <frozen importlib._bootstrap_external>:1287(create_module)
      7/4    0.020    0.003    0.022    0.005 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.021    0.021 processing_context.py:1(<module>)
        1    0.000    0.000    0.020    0.020 config.py:1(<module>)
       25    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.005    0.005 lazy_factory.py:1(<module>)
        3    0.000    0.000    0.005    0.002 constants.py:277(__getattr__)
        1    0.000    0.000    0.005    0.005 constants.py:150(_create_enums)
        1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap_external>:1054(source_to_code)
        1    0.005    0.005    0.005    0.005 {built-in method builtins.compile}
        1    0.000    0.000    0.004    0.004 webbrowser.py:1(<module>)
       43    0.001    0.000    0.004    0.000 {built-in method builtins.__build_class__}
       34    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        4    0.000    0.000    0.003    0.001 dataclasses.py:1257(wrap)
        4    0.000    0.000    0.003    0.001 dataclasses.py:921(_process_class)
       34    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
       34    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
